"","Section","Latitude","Longitude","Date","Depth_cm","Velocity_0.6_ms","coord_code","SantaAnaSucker","ArroyoChub"
"1",4,34.03305,-117.3561,"9/20/16",18,0.74,"34.03305_-117.3561",0,0
"2",4,34.03305,-117.3561,"9/20/16",20,0.74,"34.03305_-117.3561",0,0
"3",4,34.03305,-117.3561,"9/20/16",25,0.73,"34.03305_-117.3561",0,0
"4",4,34.03305,-117.3561,"9/20/16",39,0.94,"34.03305_-117.3561",0,0
"5",4,34.03305,-117.3561,"9/20/16",29,0.77,"34.03305_-117.3561",0,0
"6",4,34.03305,-117.3561,"9/20/16",15,0.47,"34.03305_-117.3561",0,0
"7",4,34.03305,-117.3561,"9/20/16",10,0.49,"34.03305_-117.3561",0,0
"8",4,34.03305,-117.3561,"9/20/16",12,0.54,"34.03305_-117.3561",0,0
"9",4,34.03305,-117.3561,"9/20/16",4,0,"34.03305_-117.3561",0,0
"10",4,34.03305,-117.3561,"9/20/16",20,0.74,"34.03305_-117.3561",0,0
"11",4,34.03311,-117.35608,"9/20/16",30,0.74,"34.03311_-117.35608",0,0
"12",4,34.03311,-117.35608,"9/20/16",26,0.86,"34.03311_-117.35608",0,0
"13",4,34.03311,-117.35608,"9/20/16",28,0.72,"34.03311_-117.35608",0,0
"14",4,34.03311,-117.35608,"9/20/16",30,0.71,"34.03311_-117.35608",0,0
"15",4,34.03311,-117.35608,"9/20/16",24,0.77,"34.03311_-117.35608",0,0
"16",4,34.03311,-117.35608,"9/20/16",19,0.73,"34.03311_-117.35608",0,0
"17",4,34.03311,-117.35608,"9/20/16",27,0.38,"34.03311_-117.35608",0,0
"18",4,34.03311,-117.35608,"9/20/16",16,0.49,"34.03311_-117.35608",0,0
"19",4,34.03311,-117.35608,"9/20/16",7,0,"34.03311_-117.35608",0,0
"20",4,34.03311,-117.35608,"9/20/16",2,0,"34.03311_-117.35608",0,0
"21",4,34.03319,-117.35605,"9/20/16",2,0,"34.03319_-117.35605",0,0
"22",4,34.03319,-117.35605,"9/20/16",11,0.04,"34.03319_-117.35605",0,0
"23",4,34.03319,-117.35605,"9/20/16",23,0.58,"34.03319_-117.35605",0,0
"24",4,34.03319,-117.35605,"9/20/16",28,0.77,"34.03319_-117.35605",0,0
"25",4,34.03319,-117.35605,"9/20/16",26,0.86,"34.03319_-117.35605",0,0
"26",4,34.03319,-117.35605,"9/20/16",28,0.84,"34.03319_-117.35605",0,0
"27",4,34.03319,-117.35605,"9/20/16",25,0.95,"34.03319_-117.35605",0,0
"28",4,34.03319,-117.35605,"9/20/16",24,0.77,"34.03319_-117.35605",0,0
"29",4,34.03319,-117.35605,"9/20/16",23,0.68,"34.03319_-117.35605",0,0
"30",4,34.03319,-117.35605,"9/20/16",11,0.41,"34.03319_-117.35605",0,0
"31",4,34.03329,-117.35601,"9/20/16",14,-0.09,"34.03329_-117.35601",0,0
"32",4,34.03329,-117.35601,"9/20/16",22,0.75,"34.03329_-117.35601",0,0
"33",4,34.03329,-117.35601,"9/20/16",25,0.81,"34.03329_-117.35601",0,0
"34",4,34.03329,-117.35601,"9/20/16",26,1.09,"34.03329_-117.35601",0,0
"35",4,34.03329,-117.35601,"9/20/16",27,1.11,"34.03329_-117.35601",0,0
"36",4,34.03329,-117.35601,"9/20/16",25,1,"34.03329_-117.35601",0,0
"37",4,34.03329,-117.35601,"9/20/16",20,0.85,"34.03329_-117.35601",0,0
"38",4,34.03329,-117.35601,"9/20/16",9,0.12,"34.03329_-117.35601",0,0
"39",4,34.03329,-117.35601,"9/20/16",2,0,"34.03329_-117.35601",0,0
"40",4,34.03329,-117.35601,"9/20/16",15,0.13,"34.03329_-117.35601",0,0
"41",4,34.03341,-117.35603,"9/20/16",11,0.54,"34.03341_-117.35603",0,0
"42",4,34.03341,-117.35603,"9/20/16",25,0.77,"34.03341_-117.35603",0,0
"43",4,34.03341,-117.35603,"9/20/16",26,0.96,"34.03341_-117.35603",0,0
"44",4,34.03341,-117.35603,"9/20/16",32,0.98,"34.03341_-117.35603",0,0
"45",4,34.03341,-117.35603,"9/20/16",31,0.91,"34.03341_-117.35603",0,0
"46",4,34.03341,-117.35603,"9/20/16",27,0.73,"34.03341_-117.35603",0,0
"47",4,34.03341,-117.35603,"9/20/16",14,0.49,"34.03341_-117.35603",0,0
"48",4,34.03341,-117.35603,"9/20/16",2,0,"34.03341_-117.35603",0,0
"49",4,34.03341,-117.35603,"9/20/16",6,0.02,"34.03341_-117.35603",0,0
"50",4,34.03341,-117.35603,"9/20/16",12,0.21,"34.03341_-117.35603",0,0
"51",4,34.0335,-117.35602,"9/20/16",27,0.26,"34.0335_-117.35602",0,0
"52",4,34.0335,-117.35602,"9/20/16",23,0.79,"34.0335_-117.35602",0,0
"53",4,34.0335,-117.35602,"9/20/16",46,1.16,"34.0335_-117.35602",0,0
"54",4,34.0335,-117.35602,"9/20/16",44,0.92,"34.0335_-117.35602",0,0
"55",4,34.0335,-117.35602,"9/20/16",43,0.66,"34.0335_-117.35602",0,0
"56",4,34.0335,-117.35602,"9/20/16",31,0.51,"34.0335_-117.35602",0,0
"57",4,34.0335,-117.35602,"9/20/16",19,0.38,"34.0335_-117.35602",0,0
"58",4,34.0335,-117.35602,"9/20/16",9,0.17,"34.0335_-117.35602",0,0
"59",4,34.0335,-117.35602,"9/20/16",2,0,"34.0335_-117.35602",0,0
"60",4,34.0335,-117.35602,"9/20/16",23,0.03,"34.0335_-117.35602",0,0
"61",4,34.03359,-117.35598,"9/20/16",38,1.39,"34.03359_-117.35598",0,0
"62",4,34.03359,-117.35598,"9/20/16",36,1.35,"34.03359_-117.35598",0,0
"63",4,34.03359,-117.35598,"9/20/16",35,0.97,"34.03359_-117.35598",0,0
"64",4,34.03359,-117.35598,"9/20/16",34,0.69,"34.03359_-117.35598",0,0
"65",4,34.03359,-117.35598,"9/20/16",29,0.5,"34.03359_-117.35598",0,0
"66",4,34.03359,-117.35598,"9/20/16",21,0.12,"34.03359_-117.35598",0,0
"67",4,34.03359,-117.35598,"9/20/16",11,-0.08,"34.03359_-117.35598",0,0
"68",4,34.03359,-117.35598,"9/20/16",43,0.71,"34.03359_-117.35598",0,0
"69",4,34.03359,-117.35598,"9/20/16",5,-0.05,"34.03359_-117.35598",0,0
"70",4,34.03359,-117.35598,"9/20/16",29,0.09,"34.03359_-117.35598",0,0
"71",4,34.03364,-117.35601,"9/20/16",32,1.72,"34.03364_-117.35601",0,0
"72",4,34.03364,-117.35601,"9/20/16",35,1.48,"34.03364_-117.35601",0,0
"73",4,34.03364,-117.35601,"9/20/16",26,1.17,"34.03364_-117.35601",0,0
"74",4,34.03364,-117.35601,"9/20/16",21,1.04,"34.03364_-117.35601",0,0
"75",4,34.03364,-117.35601,"9/20/16",12,0.88,"34.03364_-117.35601",0,0
"76",4,34.03364,-117.35601,"9/20/16",12,0.53,"34.03364_-117.35601",0,0
"77",4,34.03364,-117.35601,"9/20/16",8,0.49,"34.03364_-117.35601",0,0
"78",4,34.03364,-117.35601,"9/20/16",2,0,"34.03364_-117.35601",0,0
"79",4,34.03364,-117.35601,"9/20/16",17,0.27,"34.03364_-117.35601",0,0
"80",4,34.03364,-117.35601,"9/20/16",20,1.23,"34.03364_-117.35601",0,0
"81",4,34.03375,-117.35606,"9/20/16",16,0.48,"34.03375_-117.35606",0,0
"82",4,34.03375,-117.35606,"9/20/16",8,0.68,"34.03375_-117.35606",0,0
"83",4,34.03375,-117.35606,"9/20/16",16,0.91,"34.03375_-117.35606",0,0
"84",4,34.03375,-117.35606,"9/20/16",10,0.37,"34.03375_-117.35606",0,0
"85",4,34.03375,-117.35606,"9/20/16",14,0.45,"34.03375_-117.35606",0,0
"86",4,34.03375,-117.35606,"9/20/16",12,0.36,"34.03375_-117.35606",0,0
"87",4,34.03375,-117.35606,"9/20/16",12,0.12,"34.03375_-117.35606",0,0
"88",4,34.03375,-117.35606,"9/20/16",4,0,"34.03375_-117.35606",0,0
"89",4,34.03375,-117.35606,"9/20/16",30,1.11,"34.03375_-117.35606",0,0
"90",4,34.03375,-117.35606,"9/20/16",8,-0.07,"34.03375_-117.35606",0,0
"91",4,34.03382,-117.35618,"9/20/16",6,0.09,"34.03382_-117.35618",0,0
"92",4,34.03382,-117.35618,"9/20/16",6,0.14,"34.03382_-117.35618",0,0
"93",4,34.03382,-117.35618,"9/20/16",5,-0.05,"34.03382_-117.35618",0,0
"94",4,34.03382,-117.35618,"9/20/16",8,0.27,"34.03382_-117.35618",0,0
"95",4,34.03382,-117.35618,"9/20/16",9,0.19,"34.03382_-117.35618",0,0
"96",4,34.03382,-117.35618,"9/20/16",14,0.44,"34.03382_-117.35618",0,0
"97",4,34.03382,-117.35618,"9/20/16",18,0.6,"34.03382_-117.35618",0,0
"98",4,34.03382,-117.35618,"9/20/16",11,0.38,"34.03382_-117.35618",0,0
"99",4,34.03382,-117.35618,"9/20/16",4,-0.03,"34.03382_-117.35618",0,0
"100",4,34.03382,-117.35618,"9/20/16",30,0.51,"34.03382_-117.35618",0,0
"101",4,34.03397,-117.35609,"9/20/16",2,0,"34.03397_-117.35609",0,0
"102",4,34.03397,-117.35609,"9/20/16",16,0.48,"34.03397_-117.35609",0,0
"103",4,34.03397,-117.35609,"9/20/16",12,0.38,"34.03397_-117.35609",0,0
"104",4,34.03397,-117.35609,"9/20/16",12,0.55,"34.03397_-117.35609",0,0
"105",4,34.03397,-117.35609,"9/20/16",13,0.63,"34.03397_-117.35609",0,0
"106",4,34.03397,-117.35609,"9/20/16",15,0.57,"34.03397_-117.35609",0,0
"107",4,34.03397,-117.35609,"9/20/16",12,0.49,"34.03397_-117.35609",0,0
"108",4,34.03397,-117.35609,"9/20/16",10,0.04,"34.03397_-117.35609",0,0
"109",4,34.03397,-117.35609,"9/20/16",27,0.64,"34.03397_-117.35609",0,0
"110",4,34.03397,-117.35609,"9/20/16",28,0.44,"34.03397_-117.35609",0,0
"111",4,34.03408,-117.35615,"9/20/16",8,0.22,"34.03408_-117.35615",0,0
"112",4,34.03408,-117.35615,"9/20/16",14,0.42,"34.03408_-117.35615",0,0
"113",4,34.03408,-117.35615,"9/20/16",15,0.47,"34.03408_-117.35615",0,0
"114",4,34.03408,-117.35615,"9/20/16",19,0.63,"34.03408_-117.35615",0,0
"115",4,34.03408,-117.35615,"9/20/16",18,0.59,"34.03408_-117.35615",0,0
"116",4,34.03408,-117.35615,"9/20/16",15,0.56,"34.03408_-117.35615",0,0
"117",4,34.03408,-117.35615,"9/20/16",15,0.52,"34.03408_-117.35615",0,0
"118",4,34.03408,-117.35615,"9/20/16",12,0.47,"34.03408_-117.35615",0,0
"119",4,34.03408,-117.35615,"9/20/16",18,0.18,"34.03408_-117.35615",0,0
"120",4,34.03408,-117.35615,"9/20/16",10,0,"34.03408_-117.35615",0,0
"121",4,34.03416,-117.35625,"9/20/16",11,0.34,"34.03416_-117.35625",0,0
"122",4,34.03416,-117.35625,"9/20/16",20,0.49,"34.03416_-117.35625",0,0
"123",4,34.03416,-117.35625,"9/20/16",24,0.67,"34.03416_-117.35625",0,0
"124",4,34.03416,-117.35625,"9/20/16",24,0.71,"34.03416_-117.35625",0,0
"125",4,34.03416,-117.35625,"9/20/16",24,0.69,"34.03416_-117.35625",0,0
"126",4,34.03416,-117.35625,"9/20/16",17,0.61,"34.03416_-117.35625",0,0
"127",4,34.03416,-117.35625,"9/20/16",10,0.23,"34.03416_-117.35625",0,0
"128",4,34.03416,-117.35625,"9/20/16",2,0,"34.03416_-117.35625",0,0
"129",4,34.03416,-117.35625,"9/20/16",13,0.33,"34.03416_-117.35625",0,0
"130",4,34.03416,-117.35625,"9/20/16",10,0.03,"34.03416_-117.35625",0,0
"131",4,34.03419,-117.35637,"9/20/16",14,0.55,"34.03419_-117.35637",0,0
"132",4,34.03419,-117.35637,"9/20/16",18,0.63,"34.03419_-117.35637",0,0
"133",4,34.03419,-117.35637,"9/20/16",22,0.78,"34.03419_-117.35637",0,0
"134",4,34.03419,-117.35637,"9/20/16",25,0.77,"34.03419_-117.35637",0,0
"135",4,34.03419,-117.35637,"9/20/16",24,0.81,"34.03419_-117.35637",0,0
"136",4,34.03419,-117.35637,"9/20/16",20,0.82,"34.03419_-117.35637",0,0
"137",4,34.03419,-117.35637,"9/20/16",28,0.76,"34.03419_-117.35637",0,0
"138",4,34.03419,-117.35637,"9/20/16",13,0.09,"34.03419_-117.35637",0,0
"139",4,34.03419,-117.35637,"9/20/16",13,0.43,"34.03419_-117.35637",0,0
"140",4,34.03419,-117.35637,"9/20/16",2,0,"34.03419_-117.35637",0,0
"141",4,34.0343,-117.35641,"9/20/16",17,0.24,"34.0343_-117.35641",0,0
"142",4,34.0343,-117.35641,"9/20/16",16,0.34,"34.0343_-117.35641",0,0
"143",4,34.0343,-117.35641,"9/20/16",19,0.51,"34.0343_-117.35641",0,0
"144",4,34.0343,-117.35641,"9/20/16",32,0.69,"34.0343_-117.35641",0,0
"145",4,34.0343,-117.35641,"9/20/16",25,0.83,"34.0343_-117.35641",0,0
"146",4,34.0343,-117.35641,"9/20/16",21,0.96,"34.0343_-117.35641",0,0
"147",4,34.0343,-117.35641,"9/20/16",28,0.98,"34.0343_-117.35641",0,0
"148",4,34.0343,-117.35641,"9/20/16",8,0,"34.0343_-117.35641",0,0
"149",4,34.0343,-117.35641,"9/20/16",21,0.05,"34.0343_-117.35641",0,0
"150",4,34.0343,-117.35641,"9/20/16",30,0.64,"34.0343_-117.35641",0,0
"151",4,34.03437,-117.35646,"9/20/16",5,0.03,"34.03437_-117.35646",0,0
"152",4,34.03437,-117.35646,"9/20/16",8,0.05,"34.03437_-117.35646",0,0
"153",4,34.03437,-117.35646,"9/20/16",18,0.45,"34.03437_-117.35646",0,0
"154",4,34.03437,-117.35646,"9/20/16",35,1.16,"34.03437_-117.35646",0,0
"155",4,34.03437,-117.35646,"9/20/16",34,0.93,"34.03437_-117.35646",0,0
"156",4,34.03437,-117.35646,"9/20/16",30,0.93,"34.03437_-117.35646",0,0
"157",4,34.03437,-117.35646,"9/20/16",23,0.07,"34.03437_-117.35646",0,0
"158",4,34.03437,-117.35646,"9/20/16",13,0.16,"34.03437_-117.35646",0,0
"159",4,34.03437,-117.35646,"9/20/16",4,0.44,"34.03437_-117.35646",0,0
"160",4,34.03437,-117.35646,"9/20/16",5,0.13,"34.03437_-117.35646",0,0
"161",4,34.03446,-117.35645,"9/20/16",2,0,"34.03446_-117.35645",0,0
"162",4,34.03446,-117.35645,"9/20/16",21,-0.07,"34.03446_-117.35645",0,0
"163",4,34.03446,-117.35645,"9/20/16",36,0.33,"34.03446_-117.35645",0,0
"164",4,34.03446,-117.35645,"9/20/16",40,0.88,"34.03446_-117.35645",0,0
"165",4,34.03446,-117.35645,"9/20/16",30,0.76,"34.03446_-117.35645",0,0
"166",4,34.03446,-117.35645,"9/20/16",20,0.77,"34.03446_-117.35645",0,0
"167",4,34.03446,-117.35645,"9/20/16",19,0.78,"34.03446_-117.35645",0,0
"168",4,34.03446,-117.35645,"9/20/16",18,0.63,"34.03446_-117.35645",0,0
"169",4,34.03446,-117.35645,"9/20/16",11,0.12,"34.03446_-117.35645",0,0
"170",4,34.03446,-117.35645,"9/20/16",10,0,"34.03446_-117.35645",0,0
"171",4,34.03453,-117.35653,"9/20/16",28,0.71,"34.03453_-117.35653",0,0
"172",4,34.03453,-117.35653,"9/20/16",20,0.65,"34.03453_-117.35653",0,0
"173",4,34.03453,-117.35653,"9/20/16",13,0.62,"34.03453_-117.35653",0,0
"174",4,34.03453,-117.35653,"9/20/16",17,0.83,"34.03453_-117.35653",0,0
"175",4,34.03453,-117.35653,"9/20/16",18,0.78,"34.03453_-117.35653",0,0
"176",4,34.03453,-117.35653,"9/20/16",17,0.84,"34.03453_-117.35653",0,0
"177",4,34.03453,-117.35653,"9/20/16",12,0.22,"34.03453_-117.35653",0,0
"178",4,34.03453,-117.35653,"9/20/16",44,0.93,"34.03453_-117.35653",0,0
"179",4,34.03453,-117.35653,"9/20/16",13,0.4,"34.03453_-117.35653",0,0
"180",4,34.03453,-117.35653,"9/20/16",2,0,"34.03453_-117.35653",0,0
"181",4,34.03463,-117.35657,"9/20/16",19,0.63,"34.03463_-117.35657",0,0
"182",4,34.03463,-117.35657,"9/20/16",22,0.81,"34.03463_-117.35657",0,0
"183",4,34.03463,-117.35657,"9/20/16",24,0.86,"34.03463_-117.35657",0,0
"184",4,34.03463,-117.35657,"9/20/16",27,0.94,"34.03463_-117.35657",0,0
"185",4,34.03463,-117.35657,"9/20/16",32,0.86,"34.03463_-117.35657",0,0
"186",4,34.03463,-117.35657,"9/20/16",32,0.82,"34.03463_-117.35657",0,0
"187",4,34.03463,-117.35657,"9/20/16",4,0,"34.03463_-117.35657",0,0
"188",4,34.03463,-117.35657,"9/20/16",9,0.05,"34.03463_-117.35657",0,0
"189",4,34.03463,-117.35657,"9/20/16",22,0.44,"34.03463_-117.35657",0,0
"190",4,34.03463,-117.35657,"9/20/16",19,0.01,"34.03463_-117.35657",0,0
"191",4,34.03473,-117.35663,"9/20/16",40,0.39,"34.03473_-117.35663",0,0
"192",4,34.03473,-117.35663,"9/20/16",45,0.79,"34.03473_-117.35663",0,0
"193",4,34.03473,-117.35663,"9/20/16",39,0.88,"34.03473_-117.35663",0,0
"194",4,34.03473,-117.35663,"9/20/16",29,0.81,"34.03473_-117.35663",0,0
"195",4,34.03473,-117.35663,"9/20/16",25,0.72,"34.03473_-117.35663",0,0
"196",4,34.03473,-117.35663,"9/20/16",37,0.51,"34.03473_-117.35663",0,0
"197",4,34.03473,-117.35663,"9/20/16",20,0.04,"34.03473_-117.35663",0,0
"198",4,34.03473,-117.35663,"9/20/16",30,0.18,"34.03473_-117.35663",0,0
"199",4,34.03473,-117.35663,"9/20/16",33,0.33,"34.03473_-117.35663",0,0
"200",4,34.03473,-117.35663,"9/20/16",5,0.07,"34.03473_-117.35663",0,0
"201",4,34.03479,-117.35673,"9/20/16",28,0.57,"34.03479_-117.35673",0,0
"202",4,34.03479,-117.35673,"9/20/16",24,0.8,"34.03479_-117.35673",0,0
"203",4,34.03479,-117.35673,"9/20/16",24,1.1,"34.03479_-117.35673",0,0
"204",4,34.03479,-117.35673,"9/20/16",31,1.16,"34.03479_-117.35673",0,0
"205",4,34.03479,-117.35673,"9/20/16",24,1.53,"34.03479_-117.35673",0,0
"206",4,34.03479,-117.35673,"9/20/16",20,1.11,"34.03479_-117.35673",0,0
"207",4,34.03479,-117.35673,"9/20/16",12,0.82,"34.03479_-117.35673",0,0
"208",4,34.03479,-117.35673,"9/20/16",2,0,"34.03479_-117.35673",0,0
"209",4,34.03479,-117.35673,"9/20/16",14,0.05,"34.03479_-117.35673",0,0
"210",4,34.03479,-117.35673,"9/20/16",26,0.27,"34.03479_-117.35673",0,0
"211",3,34.03669,-117.35616,"9/21/16",46,0.56,"34.03669_-117.35616",0,0
"212",3,34.03669,-117.35616,"9/21/16",37,0.69,"34.03669_-117.35616",0,0
"213",3,34.03669,-117.35616,"9/21/16",47,0.76,"34.03669_-117.35616",0,0
"214",3,34.03669,-117.35616,"9/21/16",39,0.77,"34.03669_-117.35616",0,0
"215",3,34.03669,-117.35616,"9/21/16",45,0.74,"34.03669_-117.35616",0,0
"216",3,34.03669,-117.35616,"9/21/16",43,0.59,"34.03669_-117.35616",0,0
"217",3,34.03669,-117.35616,"9/21/16",48,0.31,"34.03669_-117.35616",0,0
"218",3,34.03669,-117.35616,"9/21/16",50,0.59,"34.03669_-117.35616",0,0
"219",3,34.03669,-117.35616,"9/21/16",28,0.28,"34.03669_-117.35616",0,0
"220",3,34.03669,-117.35616,"9/21/16",5,0,"34.03669_-117.35616",0,0
"221",3,34.03677,-117.35611,"9/21/16",50,0.77,"34.03677_-117.35611",0,0
"222",3,34.03677,-117.35611,"9/21/16",45,0.72,"34.03677_-117.35611",0,0
"223",3,34.03677,-117.35611,"9/21/16",41,0.73,"34.03677_-117.35611",0,0
"224",3,34.03677,-117.35611,"9/21/16",34,0.71,"34.03677_-117.35611",0,0
"225",3,34.03677,-117.35611,"9/21/16",24,0.58,"34.03677_-117.35611",0,0
"226",3,34.03677,-117.35611,"9/21/16",49,0.55,"34.03677_-117.35611",0,0
"227",3,34.03677,-117.35611,"9/21/16",43,0.42,"34.03677_-117.35611",0,0
"228",3,34.03677,-117.35611,"9/21/16",44,0.64,"34.03677_-117.35611",0,0
"229",3,34.03677,-117.35611,"9/21/16",15,0.37,"34.03677_-117.35611",0,0
"230",3,34.03677,-117.35611,"9/21/16",9,0.08,"34.03677_-117.35611",0,0
"231",3,34.03689,-117.35608,"9/21/16",51,0.54,"34.03689_-117.35608",0,0
"232",3,34.03689,-117.35608,"9/21/16",55,0.66,"34.03689_-117.35608",0,0
"233",3,34.03689,-117.35608,"9/21/16",52,0.63,"34.03689_-117.35608",0,0
"234",3,34.03689,-117.35608,"9/21/16",41,0.66,"34.03689_-117.35608",0,0
"235",3,34.03689,-117.35608,"9/21/16",34,0.62,"34.03689_-117.35608",0,0
"236",3,34.03689,-117.35608,"9/21/16",30,0.39,"34.03689_-117.35608",0,0
"237",3,34.03689,-117.35608,"9/21/16",18,0.16,"34.03689_-117.35608",0,0
"238",3,34.03689,-117.35608,"9/21/16",13,0.03,"34.03689_-117.35608",0,0
"239",3,34.03689,-117.35608,"9/21/16",25,0.15,"34.03689_-117.35608",0,0
"240",3,34.03689,-117.35608,"9/21/16",5,0,"34.03689_-117.35608",0,0
"241",3,34.03696,-117.35605,"9/21/16",34,0.78,"34.03696_-117.35605",0,0
"242",3,34.03696,-117.35605,"9/21/16",44,0.83,"34.03696_-117.35605",0,0
"243",3,34.03696,-117.35605,"9/21/16",35,0.82,"34.03696_-117.35605",0,0
"244",3,34.03696,-117.35605,"9/21/16",34,0.79,"34.03696_-117.35605",0,0
"245",3,34.03696,-117.35605,"9/21/16",34,0.82,"34.03696_-117.35605",0,0
"246",3,34.03696,-117.35605,"9/21/16",32,0.65,"34.03696_-117.35605",0,0
"247",3,34.03696,-117.35605,"9/21/16",14,0.01,"34.03696_-117.35605",0,0
"248",3,34.03696,-117.35605,"9/21/16",29,0.13,"34.03696_-117.35605",0,0
"249",3,34.03696,-117.35605,"9/21/16",30,0.7,"34.03696_-117.35605",0,0
"250",3,34.03696,-117.35605,"9/21/16",27,0.34,"34.03696_-117.35605",0,0
"251",3,34.03705,-117.35602,"9/21/16",22,0.62,"34.03705_-117.35602",0,0
"252",3,34.03705,-117.35602,"9/21/16",28,0.63,"34.03705_-117.35602",0,0
"253",3,34.03705,-117.35602,"9/21/16",32,0.82,"34.03705_-117.35602",0,0
"254",3,34.03705,-117.35602,"9/21/16",32,0.84,"34.03705_-117.35602",0,0
"255",3,34.03705,-117.35602,"9/21/16",32,0.83,"34.03705_-117.35602",0,0
"256",3,34.03705,-117.35602,"9/21/16",28,0.83,"34.03705_-117.35602",0,0
"257",3,34.03705,-117.35602,"9/21/16",31,0.84,"34.03705_-117.35602",0,0
"258",3,34.03705,-117.35602,"9/21/16",19,0.11,"34.03705_-117.35602",0,0
"259",3,34.03705,-117.35602,"9/21/16",35,0.65,"34.03705_-117.35602",0,0
"260",3,34.03705,-117.35602,"9/21/16",25,0.07,"34.03705_-117.35602",0,0
"261",3,34.03711,-117.356,"9/21/16",34,0.92,"34.03711_-117.356",0,0
"262",3,34.03711,-117.356,"9/21/16",32,0.89,"34.03711_-117.356",0,0
"263",3,34.03711,-117.356,"9/21/16",20,0.81,"34.03711_-117.356",0,0
"264",3,34.03711,-117.356,"9/21/16",16,0.73,"34.03711_-117.356",0,0
"265",3,34.03711,-117.356,"9/21/16",21,0.86,"34.03711_-117.356",0,0
"266",3,34.03711,-117.356,"9/21/16",30,0.77,"34.03711_-117.356",0,0
"267",3,34.03711,-117.356,"9/21/16",2,0,"34.03711_-117.356",0,0
"268",3,34.03711,-117.356,"9/21/16",16,0.07,"34.03711_-117.356",0,0
"269",3,34.03711,-117.356,"9/21/16",26,0.07,"34.03711_-117.356",0,0
